bike_id,vehicle_type_id,lat,lon,date,fill_color
pony_f99fce02c83a45ebaa7940123ccabac9,scooter,47.45752,-0.54455,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_1c1bc17b59de4013852d2b5ae4c2190b,scooter,47.47833,-0.55209,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_41f46c155a6044de9c167f9154353163,scooter,47.44852,-0.49569,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_c175e12cc039414899f46243b32944d1,scooter,47.48918,-0.5747,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_17f2996532624b5cbe26d8064c3efd48,scooter,47.46479,-0.55726,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_10f615c5a44d4190b685175d33a2bda6,scooter,47.4597,-0.59642,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_cec43610b05d4fca923f2e7c16015f6d,scooter,47.45963,-0.55449,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_799b5f46be7b4f4aafa888dbed85c61d,scooter,47.47604,-0.60723,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_4fb8cce9d7624d02b7368d7bb2422885,scooter,47.46676,-0.54843,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_f9d9caa3b860465a9b112edc9c412d5c,scooter,47.47093,-0.55153,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_23fef6147c7d47788de11698380437f3,scooter,47.49105,-0.56106,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_1bfc6904d0444dbea6a19f15650c5947,scooter,47.47917,-0.5204,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_bfd576f2072d4f429de1dd0de7803694,scooter,47.46438,-0.54845,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_3b912f1375964b23aed6d3bc11cf60ae,scooter,47.4921,-0.56037,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_1c71b4f7999f4d06879bdd8837d2cd18,scooter,47.47666,-0.59805,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_dbd03e69cc854f6f84f06992a82b09c8,scooter,47.42394,-0.56271,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_e8b785e22ff148f69bc9647c6116efb1,scooter,47.51262,-0.59713,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_ca2e59be502141288ffa583e7e8f74c2,scooter,47.48933,-0.54436,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_4fad29e83926450ea081f5ecbf953c8a,scooter,47.48814,-0.53953,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_26f5b97b90ae4acab73702cbc6f36a6e,scooter,47.47169,-0.55201,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_31358609200042c8aa4a4e4bddaf930f,scooter,47.45295,-0.55395,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_2b999839d19c41108fc8a22a91d11122,scooter,47.47854,-0.59826,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_370a2888b48e4d0ab96527482bc15991,scooter,47.47589,-0.58917,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_96ee36b7e7624731854ff4c36909efd3,scooter,47.47743,-0.59933,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_015666ea6cf34a70b1cb36f28d41aef7,scooter,47.42978,-0.52789,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_cfedba729c424885b7f86d74a7f760c3,scooter,47.42496,-0.52546,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_78a33afdd5684c54be8efc62afe99a97,scooter,47.47501,-0.58246,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_aa7e135aad8b4f43bd46712a2b435773,scooter,47.46618,-0.63352,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_fb9fb9b255fd4da7a8323410d8c78fb2,scooter,47.44753,-0.50973,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_1242ade0de8345b89b5312bd5633f337,scooter,47.47095,-0.55163,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_396b100bb61e4547bfbfbd90d82cde09,scooter,47.46536,-0.55739,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_8a7992962f664c999c4f31630edd335b,scooter,47.5104,-0.59447,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_7e46188256204407ae1d52a182ed6088,scooter,47.48351,-0.57444,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_a826e9545389429b8fa3a303048b8bae,scooter,47.4945,-0.56127,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_9b6dae56aa294311aa825b15ccca7d5e,scooter,47.45525,-0.54251,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_bc9586ca3bb54f07b48eb2991e411aa4,scooter,47.45353,-0.53671,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_409c4010659f439bb1d92e966bb44f65,scooter,47.46553,-0.55072,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
